Property A,Property B,Soil Type
0.24637,671.27,0
0.10847,2381.53,1
0.11188,2517.19,1
0.19949,5.67,1
0.07343,1373.92,1
0.16271,2294.84,1
0.09299,1562.52,1
0.35807,470.71,0
0.0348,1276.72,1
0.53616,463.61,0
0.27925,1541.83,1
0.29266,1397.4,1
0.36617,173.71,0
0.29426,1362.6,1
0.53927,954.92,1
0.41686,1466.93,0
0.4212,1071.52,0
0.0,659.57,1
0.26965,2106.55,1
0.37982,2556.34,1
0.04408,1091.61,1
0.30356,2113.96,1
0.26058,463.51,1
0.35769,-229.45,0
0.0,1014.07,1
0.0428,96.75,1
0.40414,1270.56,0
0.17575,1598.98,1
0.31541,1873.08,1
0.19909,1525.02,1
0.17421,444.62,1
0.16819,1041.24,1
0.3707,690.83,0
0.4391,593.31,0
0.5112,559.65,0
0.44051,-178.73,0
0.2189,1831.65,1
0.247,1404.69,1
0.0,1420.99,1
0.19075,731.64,1
0.0,1663.33,1
0.44129,1202.69,0
0.42105,1092.72,1
0.52546,304.0,1
0.37264,599.4,0
0.09166,2679.76,1
0.56268,-273.92,1
0.2277,2360.73,1
0.65606,1251.05,0
0.0,1018.76,1
0.51116,457.43,0
0.17974,1260.83,1
0.26373,758.61,1
0.09256,1258.98,1
0.36029,1296.09,1
0.07156,1988.5,1
0.52496,-693.05,1
0.13815,760.13,0
0.23474,-1080.91,1
0.36209,2864.84,1
0.52336,1050.22,0
0.0,1341.72,1
0.442,321.64,0
0.40369,1493.94,0
0.24573,1074.23,1
0.41503,749.69,0
0.49751,1228.22,0
0.32302,989.73,1
0.19068,1376.46,1
0.24996,1509.5,1
0.29028,1006.38,1
0.29444,2135.42,1
0.13534,214.94,1
0.35129,2071.09,1
0.24166,2160.68,1
0.39674,1496.45,1
0.33561,1157.87,1
0.4936,752.37,1
0.24793,1854.53,1
0.06276,3105.47,1
0.25079,64.85,0
0.44405,1096.32,1
0.05375,1967.9,1
0.15208,1747.1,1
0.21827,770.91,1
0.0759,1159.34,1
0.35507,2084.89,1
0.0,921.1,1
0.08974,2736.46,1
0.50389,1028.56,1
0.21072,402.59,0
0.45833,1149.05,2
0.59362,2058.06,0
0.52942,1341.76,0
0.47004,1910.55,0
0.20302,1222.39,1
0.40664,698.81,0
0.17644,749.66,1
0.14818,1170.79,1
0.25469,1246.16,1
0.36334,1954.18,1
0.33765,2304.88,1
0.33925,2186.45,1
0.32976,2648.06,1
0.19578,2497.78,1
0.57148,2077.16,1
0.24566,2266.3,1
0.39698,1820.11,1
0.18591,1805.42,1
0.59645,1889.08,0
0.41872,1966.28,1
0.56415,2123.47,0
0.23222,1101.72,1
0.2315,1471.18,1
0.42413,2102.49,1
0.31872,1956.78,1
0.02111,1897.04,1
0.37251,2312.7,1
0.3835,1789.16,1
0.07261,2035.29,1
0.14406,1061.24,1
0.32692,609.12,0
0.0,534.91,1
0.16253,460.07,1
0.2624,-419.3,1
0.06595,625.2,1
0.92857,141.68,1
0.0,1374.48,1
0.34567,817.16,0
0.0808,697.7,1
0.42886,139.38,0
0.0481,-287.18,1
0.10261,-171.43,1
0.25178,916.96,1
0.1674,-1130.91,1
0.75284,866.09,0
0.00637,535.23,1
0.17557,767.06,1
0.51106,-709.24,1
0.08225,-688.39,1
0.0,640.52,1
0.06117,200.13,1
0.28922,1995.67,1
0.66587,31.57,1
0.13795,-611.13,1
0.0,-63.5,1
0.05894,656.95,1
0.56966,1207.63,0
0.0,1248.87,1
0.18617,-21.91,1
0.2087,1262.94,1
0.45919,1277.56,0
0.04408,-216.04,1
0.0,-1005.39,1
0.56172,1037.77,1
0.04151,186.84,1
0.16441,662.17,1
0.0,2210.78,1
0.0,-138.17,1
0.0,704.52,1
0.35565,240.97,0
0.00045,123.6,1
0.10383,1389.84,2
0.0,1291.79,1
0.65722,1852.83,0
0.0,133.97,0
0.0,865.38,1
0.0,130.55,1
0.28605,583.33,0
0.17521,632.48,1
0.07662,421.62,1
0.17313,105.7,1
0.197,-348.7,1
0.0,827.22,1
0.0,445.96,1
0.24987,179.3,0
0.0,267.3,1
0.0,-949.34,1
0.37297,441.88,1
0.24583,-775.9,1
0.01863,1217.58,1
0.0,1508.99,1
0.0,-157.52,1
0.0,521.42,1
0.22456,344.05,1
0.0,-78.26,1
0.0,-228.87,1
0.0,-85.39,1
0.0,167.46,0
0.22074,-334.96,1
0.54482,1485.12,0
0.1815,137.83,0
0.10445,116.84,1
0.30781,328.23,0
0.5693,256.09,1
0.57865,-1379.53,1
0.16911,413.75,1
0.3068,-953.31,1
0.0,119.33,1
0.13329,1330.44,1
0.77061,-76.81,1
0.0,1645.35,1
0.1254,-445.37,1
0.27479,-189.34,1
0.28842,1493.34,1
0.0,1292.44,1
0.29519,-1345.18,1
0.33445,91.46,0
0.24576,-381.39,1
0.00496,-710.0,1
0.0,37.62,1
0.0,660.98,1
0.39027,1222.83,0
0.18796,902.7,1
0.23137,499.24,1
0.0,960.28,1
0.0,-1796.26,1
0.8164,724.66,1
0.0,1716.59,1
0.0,983.84,1
0.23087,230.86,1
0.35582,819.35,2
0.0,-505.42,1
0.0,708.77,1
0.0,202.55,1
0.20762,-851.23,1
0.66152,830.72,0
0.08126,-1314.41,0
0.54645,495.98,0
0.17919,345.9,0
0.29463,881.86,1
0.07095,462.25,0
0.0,1011.4,1
0.0,77.56,1
0.24565,127.89,0
0.09145,185.77,1
0.21431,206.35,1
0.10223,589.46,1
0.0,279.04,1
0.52758,-443.26,1
0.08414,-155.38,1
0.0,445.77,1
0.0,1269.4,1
0.04982,324.47,1
0.09562,-665.35,1
0.0,869.1,1
0.0,-1737.51,1
0.0,-520.39,1
0.0,-266.25,1
0.0,-1035.95,1
0.02393,-458.03,0
0.0,187.53,1
0.27035,612.24,0
0.397,-508.66,1
0.20253,238.32,0
0.14144,247.72,1
0.43687,229.63,0
0.82819,884.23,1
0.29746,1572.32,2
0.20854,390.99,0
0.0,397.55,1
0.0,1231.18,1
0.0,-705.97,1
0.0,-391.89,1
0.57349,-182.28,1
0.0,175.66,1
0.12963,153.91,0
0.0,822.2,1
0.17729,-1161.82,1
0.0,-415.04,1
0.0,280.74,1
0.23571,1774.08,0
0.0,-96.86,1
0.0,769.29,1
0.0,754.55,1
0.0384,801.83,1
0.98727,78.28,1
0.56094,-293.88,1
0.50555,1562.39,0
0.0,-722.19,1
0.17249,1190.98,1
0.02337,795.4,1
0.05355,1011.16,1
0.66721,1053.99,0
0.43981,235.73,1
0.0,948.39,1
0.0,-2321.21,1
0.0,245.9,1
0.50778,2266.27,1
0.37909,-546.37,1
0.48196,71.75,1
0.3577,885.58,0
0.06423,1735.98,1
0.0,1009.64,1
0.19489,719.67,0
0.68708,-270.53,1
0.24252,515.15,0
0.0,-204.55,1
0.7377,-386.63,1
0.0,524.19,1
0.29761,991.72,1
0.12212,615.8,1
0.0,-1415.78,1
0.32586,19.98,0
0.88272,1472.17,1
0.39535,972.71,0
0.44968,1054.27,0
0.0,115.47,1
0.0,260.9,1
0.54251,12.09,0
0.0,1077.22,1
0.36548,-803.3,1
0.74629,-938.0,1
0.0,-1185.74,1
0.19315,-792.33,1
0.47495,1114.09,0
0.24358,-44.35,0
0.3278,1025.89,1
0.0,-778.21,1
0.37363,1012.45,0
0.76276,-42.48,1
0.74598,-1391.55,1
0.66643,352.07,1
0.67101,-242.42,1
0.70318,1080.81,0
0.73292,-302.89,1
0.75732,45.11,1
0.70645,175.87,1
0.81487,-41.98,1
0.6562,499.62,0
0.67727,-250.35,1
0.67903,-309.52,1
0.7063,233.41,1
0.6558,-522.37,1
0.72163,-350.75,1
0.83308,-511.5,1
0.5082,-229.76,1
0.94278,-7.66,1
0.79278,669.5,0
0.65703,-467.61,0
0.63162,-159.66,1
0.57423,460.47,1
0.83621,-526.55,1
0.68759,-81.22,0
0.47796,-249.44,1
0.61114,-63.69,0
0.78036,134.39,1
0.82517,-91.37,1
0.67134,84.21,0
0.64938,209.47,0
0.79136,-515.4,1
0.75858,118.8,1
0.77156,169.11,1
0.8932,177.06,1
0.71647,13.28,1
0.59849,450.26,0
0.92692,229.96,1
0.88852,-698.27,1
0.67462,78.6,1
0.61551,-422.91,1
0.78454,455.71,0
0.69267,-339.1,1
0.7209,-3.79,0
0.64652,151.49,0
0.87606,-326.78,1
0.62258,264.34,0
0.82479,54.2,1
0.83711,394.39,1
0.72924,-423.05,1
0.76977,-754.9,1
0.57913,675.2,1
0.76194,-164.95,1
0.66717,178.9,1
0.73776,527.72,1
0.64122,-363.89,1
0.45981,-894.22,1
0.81856,-637.26,1
0.72395,-244.14,1
0.63379,-558.44,1
0.65979,-58.81,1
0.6696,-1018.82,1
0.85599,-679.86,1
0.92862,-458.6,1
0.58738,504.69,0
0.77723,-8.53,1
0.61117,683.69,0
0.61448,-705.69,1
0.76224,-508.42,0
0.70672,-338.18,1
0.84479,-553.39,1
0.7117,325.94,0
0.71021,-325.34,1
0.80157,54.35,1
0.72292,577.49,1
0.96259,-865.57,1
0.67008,-30.05,1
0.74818,251.71,1
0.77373,5.1,1
0.69234,-203.57,0
0.75553,270.85,1
0.67487,-692.26,1
0.79404,-310.4,1
0.8083,-97.77,1
0.6328,-546.9,1
0.6878,640.77,0
0.56407,580.44,0
0.77156,-104.24,1
0.67563,36.73,1
0.5568,519.74,0
0.73966,-24.86,1
0.74939,-106.35,1
0.71291,-841.29,1
0.59218,397.45,0
0.72146,580.4,0
0.73869,380.98,1
0.79266,126.81,1
0.7047,-553.47,1
0.76646,-428.53,1
0.59059,587.76,0
0.85785,1024.18,0
0.96329,327.25,1
0.79022,-705.94,1
0.66597,-1564.31,1
0.517,364.28,1
0.0,-1597.19,1
0.80652,643.04,1
0.0,503.04,1
1.19681,-1041.23,1
0.0,112.09,1
0.56915,917.27,0
0.73617,-1581.55,1
0.11842,-1137.63,1
1.86156,-410.18,0
0.0,-764.0,1
1.0755,-905.78,1
1.1701,-156.91,1
0.8992,-106.59,1
0.82183,-69.19,1
0.88694,-312.59,0
0.09991,200.41,1
1.64783,-1399.07,2
0.36362,-70.24,0
0.11839,474.35,1
0.23314,-1339.08,1
1.02403,238.83,1
1.16699,-507.84,1
0.93283,-323.14,1
1.13081,-1756.77,2
1.15255,-302.19,1
0.16615,-1029.93,1
0.62458,-1230.31,1
0.05688,-537.24,1
0.0,-1560.89,0
1.59329,9.72,2
0.66603,-1493.44,1
0.76933,-2722.66,1
0.0,-177.26,1
0.37497,-1061.41,1
1.33809,238.71,2
1.53146,-449.57,2
0.98601,-765.22,1
0.93999,-1321.21,1
0.47329,-862.97,1
0.86204,-148.82,1
0.81362,1776.25,0
1.12923,-363.11,1
0.03264,-177.47,1
0.16508,-1105.49,1
0.73987,-349.03,1
0.50185,421.78,0
1.85914,-2274.41,2
0.13714,-53.06,1
0.86315,707.69,1
1.3236,-1858.29,2
0.0,-1068.69,1
0.0,284.31,1
0.6005,-973.67,1
0.67397,346.66,0
0.2415,-591.63,1
0.0,56.6,1
0.96988,-567.67,1
1.11815,365.19,2
1.12028,-1114.67,1
1.31305,705.1,0
1.63296,336.65,2
1.34575,857.65,0
0.20088,-622.16,1
0.74774,-222.8,0
0.28306,-1476.86,1
0.0,645.57,1
1.36385,1883.09,0
1.40007,2485.3,0
1.07408,1375.01,0
1.22078,1326.59,0
1.43715,1733.61,0
1.57052,1838.7,2
